,term,score
0,degree,26.094379124341003
1,continuing,13.047189562170502
2,master,13.047189562170502
3,doctoral,13.047189562170502
4,tweets,9.064953742595945
5,opinion,8.815891217303744
6,group,8.815891217303744
7,student,7.8283137373023015
8,sentiment,6.043302495063963
9,study,6.043302495063963
10,neutral,5.748872195622465
11,users,5.218875824868201
12,divided,5.218875824868201
13,groups,5.218875824868201
14,versus,5.218875824868201
15,types,5.218875824868201
16,candidate,5.218875824868201
17,positive,5.079441541679836
18,negative,5.079441541679836
19,data,4.407945608651872
20,result,4.407945608651872
21,sentiments,4.407945608651872
22,paper,3.83258146374831
23,twitter,3.669430653942629
24,fear,2.6094379124341005
25,reference,2.6094379124341005
26,anticipation,2.6094379124341005
27,tested,2.6094379124341005
28,dominant,2.6094379124341005
29,technique,2.6094379124341005
30,taking,2.6094379124341005
31,quality,2.6094379124341005
32,higher,2.6094379124341005
33,surprise,2.6094379124341005
34,emotions,2.6094379124341005
35,datasets,2.6094379124341005
36,s2,2.6094379124341005
37,dataset,2.6094379124341005
38,second,2.6094379124341005
39,examines,2.6094379124341005
40,reputation,2.6094379124341005
41,love,2.6094379124341005
42,certain,2.6094379124341005
43,finding,2.6094379124341005
44,plan,2.6094379124341005
45,s3,2.6094379124341005
46,anger,2.6094379124341005
47,sadness,2.6094379124341005
48,help,2.6094379124341005
49,useful,2.6094379124341005
50,109,2.6094379124341005
51,7666,2.6094379124341005
52,421,2.6094379124341005
53,universities,2.6094379124341005
54,institutions,2.6094379124341005
55,understand,2.6094379124341005
56,level,2.6094379124341005
57,1805,2.6094379124341005
58,1683,2.6094379124341005
59,131,2.6094379124341005
60,trust,2.6094379124341005
61,joy,2.6094379124341005
62,approach,2.203972804325936
63,lack,2.203972804325936
64,85,2.203972804325936
65,improve,2.203972804325936
66,statements,2.203972804325936
67,extracted,2.203972804325936
68,represent,2.203972804325936
69,type,2.203972804325936
70,development,2.203972804325936
71,user,2.203972804325936
72,opinions,1.916290731874155
73,mining,1.916290731874155
74,value,1.6931471805599454
75,public,1.5108256237659907
76,using,1.5108256237659907
77,analysis,1.5108256237659907
78,results,1.3566749439387324
79,accuracy,1.3566749439387324
80,predict,0.0
81,post,0.0
82,race,0.0
83,posts,0.0
84,practices,0.0
85,precision,0.0
86,mbert,0.0
87,pretrained,0.0
88,pre,0.0
89,measurement,0.0
90,measure,0.0
91,matter,0.0
92,previous,0.0
93,punctuation,0.0
94,provide,0.0
95,proved,0.0
96,proposed,0.0
97,provides,0.0
98,produce,0.0
99,processing,0.0
100,management,0.0
101,main,0.0
102,purpose,0.0
103,maintaining,0.0
104,problematic,0.0
105,margin,0.0
106,primarily,0.0
107,making,0.0
108,process,0.0
109,monolingual,0.0
110,posisitve,0.0
111,objective,0.0
112,number,0.0
113,method,0.0
114,nowadays,0.0
115,normal,0.0
116,news,0.0
117,new,0.0
118,neurons,0.0
119,model,0.0
120,neural,0.0
121,networks,0.0
122,network,0.0
